x,W,c,g,p,q,Fs,Mb,Fs_nomoon,Mb_nomoon
0.000000,0.750000,2.000000,2.750000,3.968923,1.218923,0.000000,0.000000,0.000000,0.000000
0.048333,0.750000,2.000000,2.750000,3.968423,1.218423,0.058903,0.001423,0.059593,0.001440
0.096667,0.750000,2.000000,2.750000,3.967924,1.217924,0.117781,0.005693,0.119160,0.005760
0.145000,0.750000,2.000000,2.750000,3.967424,1.217424,0.176635,0.012808,0.178702,0.012958
0.193333,0.750000,2.000000,2.750000,3.966924,1.216924,0.235465,0.022767,0.238218,0.023034
0.241667,0.750000,2.000000,2.750000,3.966424,1.216424,0.294271,0.035569,0.297709,0.035986
0.290000,0.750000,2.000000,2.750000,3.965925,1.215925,0.353053,0.051213,0.357174,0.051812
0.338333,0.750000,2.000000,2.750000,3.965425,1.215425,0.411811,0.069697,0.416614,0.070512
0.386667,0.750000,2.000000,2.750000,3.964925,1.214925,0.470544,0.091021,0.476028,0.092084
0.435000,0.750000,2.000000,2.750000,3.964425,1.214425,0.529253,0.115183,0.535417,0.116527
0.483333,0.750000,2.000000,2.750000,3.963925,1.213925,0.587938,0.142181,0.594780,0.143840
0.531667,0.750000,2.000000,2.750000,3.963426,1.213426,0.646599,0.172016,0.654117,0.174022
0.580000,0.750000,2.000000,2.750000,3.962926,1.212926,0.705236,0.204685,0.713429,0.207071
0.628333,0.750000,2.000000,2.750000,3.962426,1.212426,0.763849,0.240188,0.772716,0.242986
0.676667,0.750000,2.000000,2.750000,3.961926,1.211926,0.822437,0.278524,0.831977,0.281766
0.725000,0.750000,2.000000,2.750000,3.961427,1.211427,0.881002,0.319690,0.891212,0.323410
0.773333,0.750000,2.000000,2.750000,3.960927,1.210927,0.939542,0.363687,0.950422,0.367916
0.821667,0.750000,2.000000,2.750000,3.960427,1.210427,0.998058,0.410512,1.009606,0.415284
0.870000,0.750000,2.000000,2.750000,3.959927,1.209927,1.056550,0.460165,1.068765,0.465511
0.918333,0.750000,2.000000,2.750000,3.959428,1.209428,1.115018,0.512644,1.127898,0.518597
0.966667,0.750000,2.000000,2.750000,3.958928,1.208928,1.173461,0.567949,1.187006,0.574540
1.015000,0.750000,2.000000,2.750000,3.958428,1.208428,1.231881,0.626078,1.246088,0.633340
1.063333,0.750000,2.000000,2.750000,3.957928,1.207928,1.290276,0.687031,1.305145,0.694995
1.111667,0.750000,2.000000,2.750000,3.957429,1.207429,1.348647,0.750805,1.364176,0.759504
1.160000,0.750000,2.000000,2.750000,3.956929,1.206929,1.406994,0.817399,1.423181,0.826865
1.208333,0.750000,2.000000,2.750000,3.956429,1.206429,1.465317,0.886813,1.482161,0.897077
1.256667,0.750000,2.000000,2.750000,3.955929,1.205929,1.523616,0.959046,1.541116,0.970140
1.305000,0.750000,2.000000,2.750000,3.955429,1.205429,1.581890,1.034096,1.600045,1.046051
1.353333,0.750000,2.000000,2.750000,3.954930,1.204930,1.640140,1.111961,1.658948,1.124810
1.401667,0.750000,2.000000,2.750000,3.954430,1.204430,1.698367,1.192642,1.717826,1.206415
1.450000,0.750000,2.000000,2.750000,3.953930,1.203930,1.756569,1.276136,1.776678,1.290866
1.498333,0.750000,2.000000,2.750000,3.953430,1.203430,1.814747,1.362443,1.835505,1.378160
1.546667,0.750000,2.000000,2.750000,3.952931,1.202931,1.872900,1.451561,1.894306,1.468297
1.595000,0.750000,2.000000,2.750000,3.952431,1.202431,1.931030,1.543489,1.953082,1.561276
1.643333,0.750000,2.000000,2.750000,3.951931,1.201931,1.989135,1.638227,2.011832,1.657095
1.691667,0.750000,2.000000,2.750000,3.951431,1.201431,2.047216,1.735772,2.070556,1.755752
1.740000,0.750000,2.000000,2.750000,3.950932,1.200932,2.105274,1.836124,2.129256,1.857248
1.788333,0.750000,2.000000,2.750000,3.950432,1.200432,2.163307,1.939281,2.187929,1.961580
1.836667,0.750000,2.000000,2.750000,3.949932,1.199932,2.221315,2.045243,2.246577,2.068747
1.885000,0.750000,2.000000,2.750000,3.949432,1.199432,2.279300,2.154008,2.305200,2.178748
1.933333,0.750000,2.000000,2.750000,3.948932,1.198932,2.337260,2.265575,2.363796,2.291582
1.981667,0.750000,2.000000,2.750000,3.948433,1.198433,2.395197,2.379942,2.422368,2.407248
2.030000,0.750000,2.000000,2.750000,3.947933,1.197933,2.453109,2.497110,2.480914,2.525744
2.078333,0.750000,2.000000,2.750000,3.947433,1.197433,2.510997,2.617076,2.539434,2.647069
2.126667,0.750000,2.000000,2.750000,3.946933,1.196933,2.568861,2.739839,2.597929,2.771222
2.175000,0.750000,2.000000,2.750000,3.946434,1.196434,2.626701,2.865398,2.656398,2.898202
2.223333,0.750000,2.000000,2.750000,3.945934,1.195934,2.684516,2.993753,2.714842,3.028007
2.271667,0.750000,2.000000,2.750000,3.945434,1.195434,2.742307,3.124901,2.773260,3.160636
2.320000,0.750000,2.000000,2.750000,3.944934,1.194934,2.800075,3.258842,2.831652,3.296088
2.368333,0.750000,2.000000,2.750000,3.944435,1.194435,2.857818,3.395574,2.890019,3.434361
2.416667,0.750000,2.000000,2.750000,3.943935,1.193935,2.915537,3.535097,2.948361,3.575456
2.465000,0.750000,2.000000,2.750000,3.943435,1.193435,2.973231,3.677409,3.006677,3.719369
2.513333,0.750000,2.000000,2.750000,3.942935,1.192935,3.030902,3.822509,3.064967,3.866100
2.561667,0.750000,2.000000,2.750000,3.942435,1.192435,3.088549,3.970395,3.123232,4.015649
2.610000,0.750000,2.000000,2.750000,3.941936,1.191936,3.146171,4.121068,3.181471,4.168012
2.658333,0.750000,2.000000,2.750000,3.941436,1.191436,3.203769,4.274525,3.239685,4.323190
2.706667,0.750000,2.000000,2.750000,3.940936,1.190936,3.261343,4.430765,3.297874,4.481181
2.755000,0.750000,2.000000,2.750000,3.940436,1.190436,3.318893,4.589787,3.356036,4.641984
2.803333,0.750000,2.000000,2.750000,3.939937,1.189937,3.376419,4.751591,3.414174,4.805597
2.851667,0.750000,2.000000,2.750000,3.939437,1.189437,3.433920,4.916174,3.472285,4.972020
2.900000,0.750000,2.000000,2.750000,3.938937,1.188937,3.491397,5.083536,3.530371,5.141251
2.948333,0.750000,2.000000,2.750000,3.938437,1.188437,3.548851,5.253675,3.588432,5.313289
2.996667,0.750000,2.000000,2.750000,3.937938,1.187938,3.606280,5.426591,3.646467,5.488132
3.045000,0.750000,2.000000,2.750000,3.937438,1.187438,3.663685,5.602281,3.704476,5.665780
3.093333,0.750000,2.000000,2.750000,3.936938,1.186938,3.721065,5.780746,3.762460,5.846231
3.141667,0.750000,2.000000,2.750000,3.936438,1.186438,3.778422,5.961984,3.820419,6.029484
3.190000,0.750000,2.000000,2.750000,3.935939,1.185939,3.835754,6.145993,3.878352,6.215537
3.238333,0.750000,2.000000,2.750000,3.935439,1.185439,3.893063,6.332773,3.936259,6.404391
3.286667,0.750000,2.000000,2.750000,3.934939,1.184939,3.950347,6.522322,3.994141,6.596042
3.335000,0.750000,2.000000,2.750000,3.934439,1.184439,4.007607,6.714639,4.051997,6.790490
3.383333,0.750000,2.000000,2.750000,3.933939,1.183939,4.064843,6.909723,4.109828,6.987734
3.431667,0.750000,2.000000,2.750000,3.933440,1.183440,4.122054,7.107573,4.167633,7.187773
3.480000,0.750000,2.000000,2.750000,3.932940,1.182940,4.179242,7.308188,4.225413,7.390605
3.528333,0.750000,2.000000,2.750000,3.932440,1.182440,4.236405,7.511566,4.283167,7.596229
3.576667,0.750000,2.000000,2.750000,3.931940,1.181940,4.293544,7.717707,4.340896,7.804644
3.625000,0.750000,2.000000,2.750000,3.931441,1.181441,4.350659,7.926608,4.398599,8.015848
3.673333,0.750000,2.000000,2.750000,3.930941,1.180941,4.407750,8.138270,4.456276,8.229841
3.721667,0.750000,2.000000,2.750000,3.930441,1.180441,4.464817,8.352690,4.513928,8.446621
3.770000,0.750000,2.000000,2.750000,3.929941,1.179941,4.521860,8.569868,4.571555,8.666187
3.818333,0.750000,2.000000,2.750000,3.929442,1.179442,4.578878,8.789803,4.629155,8.888537
3.866667,0.750000,2.000000,2.750000,3.928942,1.178942,4.635872,9.012492,4.686731,9.113671
3.915000,0.750000,2.000000,2.750000,3.928442,1.178442,4.692842,9.237936,4.744281,9.341587
3.963333,0.750000,2.000000,2.750000,3.927942,1.177942,4.749788,9.466133,4.801805,9.572284
4.011667,0.750000,2.000000,2.750000,3.927442,1.177442,4.806710,9.697082,4.859304,9.805761
4.060000,0.750000,2.000000,2.750000,3.926943,1.176943,4.863608,9.930781,4.916777,10.042016
4.108333,0.750000,2.000000,2.750000,3.926443,1.176443,4.920481,10.167230,4.974224,10.281049
4.156667,0.750000,2.000000,2.750000,3.925943,1.175943,4.977331,10.406427,5.031647,10.522858
4.205000,0.750000,2.000000,2.750000,3.925443,1.175443,5.034156,10.648371,5.089043,10.767441
4.253333,0.750000,2.000000,2.750000,3.924944,1.174944,5.090957,10.893062,5.146414,11.014798
4.301667,0.750000,2.000000,2.750000,3.924444,1.174444,5.147734,11.140497,5.203760,11.264927
4.350000,0.750000,2.000000,2.750000,3.923944,1.173944,5.204486,11.390675,5.261080,11.517827
4.398333,0.750000,2.000000,2.750000,3.923444,1.173444,5.261215,11.643596,5.318374,11.773497
4.446667,0.750000,2.000000,2.750000,3.922945,1.172945,5.317919,11.899259,5.375643,12.031936
4.495000,0.750000,2.000000,2.750000,3.922445,1.172445,5.374600,12.157661,5.432886,12.293142
4.543333,0.750000,2.000000,2.750000,3.921945,1.171945,5.431256,12.418803,5.490104,12.557114
4.591667,0.750000,2.000000,2.750000,3.921445,1.171445,5.487888,12.682682,5.547296,12.823852
4.640000,0.750000,2.000000,2.750000,3.920945,1.170945,5.544495,12.949298,5.604463,13.093353
4.688333,0.750000,2.000000,2.750000,3.920446,1.170446,5.601079,13.218649,5.661604,13.365616
4.736667,0.750000,2.000000,2.750000,3.919946,1.169946,5.657638,13.490735,5.718720,13.640640
4.785000,0.750000,2.000000,2.750000,3.919446,1.169446,5.714174,13.765554,5.775810,13.918425
4.833333,0.750000,2.000000,2.750000,3.918946,1.168946,5.770685,14.043105,5.832875,14.198968
4.881667,0.750000,2.000000,2.750000,3.918447,1.168447,5.827172,14.323386,5.889914,14.482269
4.930000,0.750000,2.000000,2.750000,3.917947,1.167947,5.883635,14.606397,5.946927,14.768326
4.978333,0.750000,2.000000,2.750000,3.917447,1.167447,5.940073,14.892137,6.003915,15.057138
5.026667,0.750000,2.000000,2.750000,3.916947,1.166947,5.996488,15.180604,6.060878,15.348704
5.075000,0.750000,2.000000,2.750000,3.916448,1.166448,6.052878,15.471797,6.117814,15.643022
5.123333,0.750000,2.000000,2.750000,3.915948,1.165948,6.109245,15.765715,6.174726,15.940092
5.171667,0.750000,2.000000,2.750000,3.915448,1.165448,6.165587,16.062357,6.231612,16.239911
5.220000,0.750000,2.000000,2.750000,3.914948,1.164948,6.221904,16.361721,6.288472,16.542480
5.268333,0.750000,2.000000,2.750000,3.914449,1.164449,6.278198,16.663807,6.345307,16.847796
5.316667,0.750000,2.000000,2.750000,3.913949,1.163949,6.334468,16.968613,6.402116,17.155859
5.365000,0.750000,2.000000,2.750000,3.913449,1.163449,6.390713,17.276138,6.458899,17.466667
5.413333,0.750000,2.000000,2.750000,3.912949,1.162949,6.446935,17.586381,6.515658,17.780219
5.461667,0.750000,2.000000,2.750000,3.912449,1.162449,6.503132,17.899341,6.572390,18.096513
5.510000,0.750000,2.000000,2.750000,3.911950,1.161950,6.559305,18.215017,6.629097,18.415549
5.558333,0.750000,2.000000,2.750000,3.911450,1.161450,6.615454,18.533407,6.685779,18.737325
5.606667,0.750000,2.000000,2.750000,3.910950,1.160950,6.671578,18.854510,6.742435,19.061841
5.655000,0.750000,2.000000,2.750000,3.910450,1.160450,6.727679,19.178325,6.799065,19.389093
5.703333,0.750000,2.000000,2.750000,3.909951,1.159951,6.783755,19.504852,6.855670,19.719083
5.751667,0.750000,2.000000,2.750000,3.909451,1.159451,6.839807,19.834088,6.912249,20.051808
5.800000,0.750000,2.000000,2.750000,3.908951,1.158951,6.895835,20.166032,6.968803,20.387266
5.848333,0.750000,2.000000,2.750000,3.908451,1.158451,6.951839,20.500685,7.025331,20.725458
5.896667,0.750000,2.000000,2.750000,3.907952,1.157952,7.007819,20.838043,7.081834,21.066381
5.945000,0.750000,2.000000,2.750000,3.907452,1.157452,7.063775,21.178107,7.138311,21.410035
